name,release_date,developer,publisher,platform,genre,price,metascore,has_singleplayer,has_multiplayer,dlc_name,dlc_release_date,dlc_price
Baldur's Gate,2023-08-03,Larian Studios,Larian Studios,PC,RPG,59.99,96,True,True,Digital Deluxe Edition,2023-08-03,9.75
Baldur's Gate,2023-08-03,Larian Studios,Larian Studios,PlayStation 5,RPG,59.99,96,True,True,Digital Deluxe Edition,2023-08-03,9.75
Baldur's Gate,2023-08-03,Larian Studios,Larian Studios,Xbox Series X,RPG,59.99,96,True,True,Digital Deluxe Edition,2023-08-03,9.75
Pizza Tower,2023-01-26,Tour De Pizza,Tour De Pizza,PC,Platformer,19.5,89,True,False,Original Soundtrack,2023-02-01,9.75
Pizza Tower,2023-01-26,Tour De Pizza,Tour De Pizza,Nintendo Switch,Platformer,19.5,89,True,False,Original Soundtrack,2023-02-01,9.75
Resident Evil 4,2023-03-24,"Capcom Co., Ltd.","Capcom Co., Ltd.",PC,Horror,39.99,93,True,False,Original Soundtrack,2023-09-21,24.99
Resident Evil 4,2023-03-24,"Capcom Co., Ltd.","Capcom Co., Ltd.",PC,Horror,39.99,93,True,False,Separate Ways,2023-09-21,9.99
Resident Evil 4,2023-03-24,"Capcom Co., Ltd.","Capcom Co., Ltd.",PC,Horror,39.99,93,True,False,The Mercenaries,2023-04-07,0
Resident Evil 4,2023-03-24,"Capcom Co., Ltd.","Capcom Co., Ltd.",PlayStation 5,Horror,39.99,93,True,False,Original Soundtrack,2023-09-21,24.99
Resident Evil 4,2023-03-24,"Capcom Co., Ltd.","Capcom Co., Ltd.",PlayStation 5,Horror,39.99,93,True,False,Separate Ways,2023-09-21,9.99
Resident Evil 4,2023-03-24,"Capcom Co., Ltd.","Capcom Co., Ltd.",PlayStation 5,Horror,39.99,93,True,False,The Mercenaries,2023-04-07,0
Resident Evil 4,2023-03-24,"Capcom Co., Ltd.","Capcom Co., Ltd.",Xbox Series X,Horror,39.99,93,True,False,Original Soundtrack,2023-09-21,24.99
Resident Evil 4,2023-03-24,"Capcom Co., Ltd.","Capcom Co., Ltd.",Xbox Series X,Horror,39.99,93,True,False,Separate Ways,2023-09-21,9.99
Resident Evil 4,2023-03-24,"Capcom Co., Ltd.","Capcom Co., Ltd.",Xbox Series X,Horror,39.99,93,True,False,The Mercenaries,2023-04-07,0
Honkai: Star Rail,2023-04-26,miHoyo,HoYoverse,PC,RPG,0,80,True,False,,,
